DATE,OPEN,HIGH,LOW,CLOSE
2023-07-04,1.49997,1.50639,1.49419,1.49943
2023-06-30,1.49660,1.51591,1.48750,1.49990
2023-06-23,1.45256,1.50065,1.45250,1.49700
2023-06-16,1.48225,1.48529,1.44890,1.45400
2023-06-09,1.51348,1.51962,1.48100,1.48320
2023-06-02,1.53262,1.54809,1.50690,1.51320
2023-05-26,1.50320,1.54022,1.49930,1.53380
2023-05-19,1.50378,1.51376,1.48980,1.50300
2023-05-12,1.47944,1.50669,1.46650,1.50520
2023-05-05,1.51220,1.51268,1.47949,1.48120
2023-04-28,1.49340,1.52055,1.49080,1.51130
2023-04-21,1.49060,1.49726,1.47650,1.49390
2023-04-14,1.49959,1.51044,1.47052,1.49000
2023-04-07,1.49642,1.50542,1.47160,1.49900
2023-03-31,1.50470,1.50716,1.48380,1.49520
2023-03-24,1.48761,1.50907,1.47951,1.50420
2023-03-17,1.51410,1.51692,1.48684,1.49290
2023-03-10,1.48180,1.52263,1.47680,1.51879
2023-03-03,1.48401,1.49312,1.47390,1.47690
2023-02-24,1.45491,1.48807,1.44440,1.48659
2023-02-17,1.44523,1.46763,1.42264,1.45340
2023-02-10,1.44920,1.45830,1.42600,1.44470
2023-02-03,1.40700,1.44490,1.39670,1.44420
2023-01-27,1.43580,1.43600,1.39970,1.40564
2023-01-20,1.43301,1.45495,1.41555,1.43420
2023-01-13,1.45300,1.45745,1.42940,1.43308
2023-01-06,1.46800,1.49486,1.45130,1.45380
2022-12-30,1.49170,1.49420,1.46540,1.46650
2022-12-23,1.49025,1.50809,1.47730,1.48870
2022-12-16,1.47185,1.49750,1.45040,1.49520
2022-12-09,1.47306,1.49912,1.45910,1.47113
2022-12-02,1.48690,1.50564,1.45968,1.47130
2022-11-25,1.50090,1.51826,1.47450,1.48100
2022-11-18,1.49160,1.50696,1.47137,1.49800
2022-11-11,1.55770,1.56514,1.48858,1.49054
2022-11-04,1.56116,1.59401,1.54010,1.54500
2022-10-28,1.56107,1.59353,1.53280,1.55920
2022-10-21,1.60966,1.61018,1.56390,1.56620
2022-10-14,1.56927,1.61997,1.56709,1.61320
2022-10-07,1.56046,1.57339,1.52693,1.56960
2022-09-30,1.53276,1.57080,1.52929,1.56100
2022-09-23,1.48836,1.53525,1.48170,1.53060
2022-09-16,1.45943,1.49890,1.44550,1.48740
2022-09-09,1.47224,1.49243,1.45380,1.46100
2022-09-02,1.45106,1.47647,1.43730,1.46750
2022-08-26,1.45455,1.45828,1.42660,1.45070
2022-08-19,1.40302,1.45764,1.40302,1.45430
2022-08-12,1.44649,1.44930,1.40090,1.40360
2022-08-05,1.43025,1.45512,1.41850,1.44660
2022-07-29,1.44410,1.45237,1.42180,1.43080
2022-07-22,1.46992,1.47276,1.43290,1.44320
2022-07-15,1.45841,1.49613,1.45830,1.47180
2022-07-08,1.46669,1.47861,1.45000,1.45790
2022-07-01,1.43873,1.47827,1.43560,1.46670
2022-06-24,1.44053,1.45541,1.42890,1.43850
2022-06-17,1.42074,1.45932,1.41440,1.44180
2022-06-10,1.38596,1.42038,1.38060,1.41750
2022-06-03,1.39563,1.40001,1.37240,1.38700
2022-05-27,1.41715,1.42106,1.39480,1.39600
2022-05-20,1.44113,1.45476,1.41350,1.42110
2022-05-13,1.41417,1.46408,1.41417,1.44030
2022-05-06,1.41509,1.42221,1.37580,1.41230
2022-04-29,1.37971,1.41708,1.37971,1.41510
2022-04-22,1.35159,1.38201,1.34050,1.38080
2022-04-15,1.33974,1.35259,1.33400,1.35120
2022-04-08,1.33390,1.34630,1.30500,1.34070
2022-04-01,1.33083,1.34072,1.32600,1.33280
2022-03-25,1.34963,1.35582,1.32660,1.33050
2022-03-18,1.37127,1.39533,1.34760,1.34790
2022-03-11,1.35504,1.37987,1.34429,1.37100
2022-03-04,1.39530,1.39530,1.35430,1.35577
2022-02-25,1.39377,1.40919,1.37260,1.38220
2022-02-18,1.40177,1.41087,1.38310,1.39280
2022-02-11,1.41190,1.41516,1.37920,1.40131
2022-02-04,1.42966,1.43096,1.39511,1.41390
2022-01-28,1.39307,1.43492,1.39050,1.42990
2022-01-21,1.38530,1.39449,1.37390,1.39330
2022-01-14,1.39310,1.39856,1.36680,1.38690
2022-01-07,1.37640,1.40232,1.37350,1.39216
2021-12-31,1.38310,1.38753,1.37380,1.37569
2021-12-24,1.40210,1.41168,1.37840,1.38344
2021-12-17,1.39560,1.41019,1.38400,1.40310
2021-12-10,1.42770,1.42792,1.39100,1.39333
2021-12-03,1.40029,1.42976,1.39360,1.42836
2021-11-26,1.38114,1.40569,1.37480,1.40470
2021-11-19,1.36440,1.38327,1.35640,1.38126
2021-11-12,1.35182,1.37407,1.34490,1.36378
2021-11-05,1.32968,1.35803,1.32630,1.35050
2021-10-29,1.33877,1.33957,1.32300,1.32890
2021-10-22,1.34700,1.35490,1.32480,1.33910
2021-10-15,1.36790,1.37104,1.34360,1.34680
2021-10-08,1.37680,1.38361,1.36272,1.36770
2021-10-01,1.37680,1.39440,1.36740,1.37750
2021-09-24,1.37580,1.38477,1.36640,1.37710
2021-09-17,1.35910,1.37679,1.35540,1.37580
2021-09-10,1.34057,1.36112,1.33896,1.35890
2021-09-03,1.36726,1.37255,1.33724,1.34030
2021-08-27,1.40210,1.40210,1.36600,1.36710
2021-08-20,1.35685,1.40694,1.35580,1.40110
2021-08-13,1.35934,1.36666,1.35320,1.35630
2021-08-06,1.36205,1.36417,1.34620,1.35900
2021-07-30,1.35650,1.36587,1.34874,1.36090
2021-07-23,1.35153,1.37157,1.35090,1.35730
2021-07-16,1.33420,1.35256,1.33250,1.35020
2021-07-09,1.32816,1.34936,1.31550,1.33530
2021-07-02,1.31715,1.34231,1.31510,1.32810
2021-06-25,1.33581,1.33690,1.31250,1.31750
2021-06-18,1.29751,1.33683,1.29390,1.33560
2021-06-11,1.29135,1.30047,1.28570,1.29700
2021-06-04,1.29662,1.30747,1.28650,1.29180
2021-05-28,1.29352,1.30228,1.28220,1.29580
2021-05-21,1.28598,1.29645,1.27950,1.29280
2021-05-14,1.27360,1.30050,1.26680,1.28450
2021-05-07,1.29524,1.30261,1.27160,1.27430
2021-04-30,1.29045,1.29909,1.27840,1.29550
2021-04-23,1.29409,1.29996,1.27910,1.28990
2021-04-16,1.31229,1.31760,1.28810,1.29250
2021-04-09,1.31480,1.31752,1.30220,1.31150
2021-04-02,1.30888,1.32732,1.30450,1.31420
2021-03-26,1.29518,1.32184,1.28870,1.30770
2021-03-19,1.28807,1.29855,1.27370,1.29100
2021-03-12,1.29900,1.31168,1.28160,1.28800
2021-03-05,1.29602,1.31122,1.27550,1.30163
2021-02-26,1.27005,1.29974,1.24850,1.29700
2021-02-19,1.28726,1.29436,1.26920,1.27020
2021-02-12,1.30338,1.30672,1.28650,1.28838
2021-02-05,1.31191,1.32162,1.30200,1.30217
2021-01-29,1.29528,1.31692,1.28809,1.30780
2021-01-22,1.29680,1.30533,1.28450,1.29604
2021-01-15,1.28893,1.30408,1.28080,1.29810
2021-01-08,1.29750,1.30821,1.27840,1.29310
