DATE,OPEN,HIGH,LOW,CLOSE
2023-07-04,0.89398,0.90042,0.89398,0.89648
2023-06-30,0.89594,0.9017,0.89113,0.89477
2023-06-23,0.89303,0.90133,0.89059,0.89641
2023-06-16,0.90266,0.91092,0.8901,0.89369
2023-06-09,0.90795,0.91198,0.898,0.90272
2023-06-02,0.90501,0.91476,0.9013,0.90866
2023-05-26,0.89854,0.90745,0.894,0.90449
2023-05-19,0.89769,0.90625,0.8918,0.899
2023-05-12,0.88967,0.89877,0.8867,0.89832
2023-05-05,0.89271,0.89949,0.88197,0.89025
2023-04-28,0.8922,0.89764,0.8851,0.89371
2023-04-21,0.8941,0.90029,0.8907,0.892
2023-04-14,0.90404,0.91203,0.8859,0.8928
2023-04-07,0.91401,0.91963,0.90045,0.9051
2023-03-31,0.91899,0.92231,0.911,0.9148
2023-03-24,0.92492,0.93171,0.9117,0.9193
2023-03-17,0.91749,0.93411,0.9065,0.9257
2023-03-10,0.93563,0.94386,0.917,0.92108
2023-03-03,0.9397,0.94401,0.9338,0.93583
2023-02-24,0.92563,0.94123,0.9215,0.93987
2023-02-17,0.9232,0.93322,0.91357,0.92402
2023-02-10,0.92765,0.9291,0.9155,0.92293
2023-02-03,0.92088,0.92882,0.9055,0.92567
2023-01-27,0.91918,0.92795,0.9153,0.92061
2023-01-20,0.92682,0.92883,0.9084,0.91928
2023-01-13,0.92757,0.9362,0.9161,0.92666
2023-01-06,0.92438,0.9409,0.92105,0.92752
2022-12-30,0.9332,0.93413,0.9197,0.92427
2022-12-23,0.9325,0.9348,0.9222,0.93282
2022-12-16,0.93369,0.938,0.92079,0.93393
2022-12-09,0.93807,0.94558,0.9309,0.93307
2022-12-02,0.94593,0.95474,0.932,0.93649
2022-11-25,0.9533,0.95986,0.9382,0.94593
2022-11-18,0.94199,0.95574,0.9354,0.95432
2022-11-11,0.99842,0.9987,0.9394,0.94088
2022-11-04,0.9959,1.01474,0.9908,0.99383
2022-10-28,0.99538,1.00316,0.9836,0.996
2022-10-21,1.00459,1.01478,0.9915,0.99771
2022-10-14,0.9933,1.00739,0.9911,1.005
2022-10-07,0.98657,0.99535,0.9777,0.9935
2022-09-30,0.98172,0.99658,0.9735,0.986
2022-09-23,0.96329,0.98502,0.9618,0.98139
2022-09-16,0.95859,0.96612,0.9476,0.9646
2022-09-09,0.98179,0.98697,0.9543,0.9598
2022-09-02,0.96533,0.98609,0.96519,0.9803
2022-08-26,0.95844,0.96924,0.9568,0.9662
2022-08-19,0.9413,0.95984,0.9403,0.9586
2022-08-12,0.9611,0.96351,0.9366,0.94083
2022-08-05,0.95108,0.96515,0.9468,0.96161
2022-07-29,0.96063,0.96677,0.9498,0.9512
2022-07-22,0.97577,0.979,0.9594,0.96069
2022-07-15,0.9763,0.9886,0.97514,0.97519
2022-07-08,0.95975,0.97975,0.95593,0.97619
2022-07-01,0.95809,0.96417,0.9492,0.95918
2022-06-24,0.96969,0.9714,0.9516,0.957
2022-06-17,0.98761,1.00499,0.9616,0.9697
2022-06-10,0.96187,0.98981,0.9599,0.98759
2022-06-03,0.95666,0.96589,0.9548,0.9608
2022-05-27,0.97332,0.97512,0.9541,0.95699
2022-05-20,1.0015,1.00643,0.9691,0.9737
2022-05-13,0.98766,1.00492,0.9867,1.00117
2022-05-06,0.97219,0.98921,0.9705,0.9884
2022-04-29,0.95631,0.97591,0.9541,0.97318
2022-04-22,0.94206,0.95925,0.9418,0.9569
2022-04-15,0.932,0.94434,0.9282,0.9426
2022-04-08,0.92516,0.9374,0.9235,0.93413
2022-04-01,0.93015,0.93814,0.9192,0.92533
2022-03-25,0.93131,0.93756,0.9254,0.9305
2022-03-18,0.93356,0.94601,0.93099,0.9315
2022-03-11,0.9167,0.935,0.91567,0.93354
2022-03-04,0.9267,0.9279,0.9144,0.91601
2022-02-25,0.92088,0.9289,0.9144,0.92512
2022-02-18,0.9248,0.92741,0.9183,0.92047
2022-02-11,0.92396,0.9297,0.9215,0.92578
2022-02-04,0.93081,0.9343,0.9174,0.92542
2022-01-28,0.91152,0.93378,0.9103,0.93001
2022-01-21,0.91222,0.91812,0.9103,0.91074
2022-01-14,0.91836,0.92781,0.9087,0.9135
2022-01-07,0.9113,0.92326,0.91045,0.91872
2021-12-31,0.91856,0.92016,0.9099,0.91217
2021-12-24,0.92373,0.9254,0.9162,0.91851
2021-12-17,0.9216,0.92944,0.9168,0.92311
2021-12-10,0.91726,0.92752,0.91618,0.92056
2021-12-03,0.92346,0.92728,0.9152,0.91664
2021-11-26,0.92756,0.93735,0.921,0.92276
2021-11-19,0.921,0.93298,0.9181,0.92823
2021-11-12,0.91246,0.92378,0.9098,0.92089
2021-11-05,0.9147,0.91751,0.90806,0.91145
2021-10-29,0.916,0.92262,0.9096,0.9156
2021-10-22,0.92328,0.92732,0.9146,0.91573
2021-10-15,0.92636,0.93132,0.9192,0.92218
2021-10-08,0.92872,0.93111,0.9225,0.92745
2021-10-01,0.92389,0.93683,0.9232,0.93064
2021-09-24,0.93079,0.93331,0.9212,0.92423
2021-09-17,0.91786,0.9325,0.9158,0.93138
2021-09-10,0.91304,0.9235,0.9127,0.91745
2021-09-03,0.91087,0.91893,0.9095,0.91304
2021-08-27,0.9162,0.91997,0.91028,0.911
2021-08-20,0.91555,0.9207,0.9093,0.9167
2021-08-13,0.91475,0.92421,0.9136,0.9149
2021-08-06,0.90508,0.91566,0.9013,0.91383
2021-07-30,0.91909,0.92024,0.9034,0.90489
2021-07-23,0.91866,0.9233,0.9151,0.9192
2021-07-16,0.91389,0.92035,0.9111,0.9186
2021-07-09,0.92085,0.92676,0.91292,0.9136
2021-07-02,0.91676,0.92748,0.916,0.9201
2021-06-25,0.92165,0.92369,0.9137,0.9175
2021-06-18,0.89782,0.9239,0.8959,0.92188
2021-06-11,0.89895,0.90102,0.8921,0.89779
2021-06-04,0.89903,0.9054,0.894,0.89793
2021-05-28,0.89743,0.903,0.8925,0.8997
2021-05-21,0.90114,0.90476,0.8949,0.8975
2021-05-14,0.90008,0.9094,0.8982,0.90123
2021-05-07,0.91243,0.91646,0.89988,0.9003
2021-04-30,0.91308,0.91815,0.9075,0.9129
2021-04-23,0.91928,0.92153,0.9123,0.91356
2021-04-16,0.92451,0.92684,0.9176,0.9197
2021-04-09,0.94229,0.9439,0.9226,0.9235
2021-04-02,0.93821,0.94726,0.9366,0.94132
2021-03-26,0.9297,0.94178,0.9216,0.93905
2021-03-19,0.92869,0.93201,0.921,0.92924
2021-03-12,0.9285,0.93755,0.92303,0.92923
2021-03-05,0.90805,0.9319,0.9064,0.93078
2021-02-26,0.8964,0.91018,0.8943,0.90833
2021-02-19,0.89155,0.89955,0.8865,0.89611
2021-02-12,0.89867,0.90198,0.8885,0.89101
2021-02-05,0.89,0.9046,0.88912,0.89867
2021-01-29,0.88532,0.8919,0.88394,0.89035
2021-01-22,0.89023,0.89259,0.8833,0.88491
2021-01-15,0.88558,0.89204,0.88417,0.89073
2021-01-08,0.88321,0.88845,0.8752,0.88727
