DATE,OPEN,HIGH,LOW,CLOSE
2023-07-04,1.49997,1.50639,1.49419,1.49943
2023-06-30,1.4966,1.51591,1.4875,1.4999
2023-06-23,1.45256,1.50065,1.4525,1.497
2023-06-16,1.48225,1.48529,1.4489,1.454
2023-06-09,1.51348,1.51962,1.481,1.4832
2023-06-02,1.53262,1.54809,1.5069,1.5132
2023-05-26,1.5032,1.54022,1.4993,1.5338
2023-05-19,1.50378,1.51376,1.4898,1.503
2023-05-12,1.47944,1.50669,1.4665,1.5052
2023-05-05,1.5122,1.51268,1.47949,1.4812
2023-04-28,1.4934,1.52055,1.4908,1.5113
2023-04-21,1.4906,1.49726,1.4765,1.4939
2023-04-14,1.49959,1.51044,1.47052,1.49
2023-04-07,1.49642,1.50542,1.4716,1.499
2023-03-31,1.5047,1.50716,1.4838,1.4952
2023-03-24,1.48761,1.50907,1.47951,1.5042
2023-03-17,1.5141,1.51692,1.48684,1.4929
2023-03-10,1.4818,1.52263,1.4768,1.51879
2023-03-03,1.48401,1.49312,1.4739,1.4769
2023-02-24,1.45491,1.48807,1.4444,1.48659
2023-02-17,1.44523,1.46763,1.42264,1.4534
2023-02-10,1.4492,1.4583,1.426,1.4447
2023-02-03,1.407,1.4449,1.3967,1.4442
2023-01-27,1.4358,1.436,1.3997,1.40564
2023-01-20,1.43301,1.45495,1.41555,1.4342
2023-01-13,1.453,1.45745,1.4294,1.43308
2023-01-06,1.468,1.49486,1.4513,1.4538
2022-12-30,1.4917,1.4942,1.4654,1.4665
2022-12-23,1.49025,1.50809,1.4773,1.4887
2022-12-16,1.47185,1.4975,1.4504,1.4952
2022-12-09,1.47306,1.49912,1.4591,1.47113
2022-12-02,1.4869,1.50564,1.45968,1.4713
2022-11-25,1.5009,1.51826,1.4745,1.481
2022-11-18,1.4916,1.50696,1.47137,1.498
2022-11-11,1.5577,1.56514,1.48858,1.49054
2022-11-04,1.56116,1.59401,1.5401,1.545
2022-10-28,1.56107,1.59353,1.5328,1.5592
2022-10-21,1.60966,1.61018,1.5639,1.5662
2022-10-14,1.56927,1.61997,1.56709,1.6132
2022-10-07,1.56046,1.57339,1.52693,1.5696
2022-09-30,1.53276,1.5708,1.52929,1.561
2022-09-23,1.48836,1.53525,1.4817,1.5306
