DATE,OPEN,HIGH,LOW,CLOSE
2023-07-04,0.78740,0.78989,0.78623,0.78763
2023-06-30,0.78608,0.79411,0.78376,0.78748
2023-06-23,0.77941,0.78804,0.77903,0.78639
2023-06-16,0.79491,0.80075,0.77835,0.77995
2023-06-09,0.80336,0.80848,0.79425,0.79484
2023-06-02,0.80978,0.81131,0.79714,0.80303
2023-05-26,0.80334,0.81237,0.80174,0.80981
2023-05-19,0.80336,0.80712,0.79701,0.80353
2023-05-12,0.79149,0.80369,0.78868,0.80323
2023-05-05,0.79565,0.80404,0.79046,0.79174
2023-04-28,0.80376,0.80726,0.79467,0.79571
2023-04-21,0.80544,0.80953,0.80175,0.80364
2023-04-14,0.80512,0.80984,0.79705,0.80551
2023-04-07,0.81111,0.81471,0.79865,0.80524
2023-03-31,0.81719,0.81823,0.80497,0.81087
2023-03-24,0.81962,0.82180,0.81014,0.81764
2023-03-17,0.82711,0.83255,0.81945,0.82140
2023-03-10,0.83145,0.84673,0.82575,0.83113
2023-03-03,0.83612,0.83878,0.82350,0.83020
2023-02-24,0.83125,0.83818,0.82339,0.83741
2023-02-17,0.82872,0.83922,0.81600,0.83038
2023-02-10,0.83075,0.83604,0.82019,0.82921
2023-02-03,0.80704,0.82999,0.80535,0.82961
2023-01-27,0.80628,0.81512,0.80341,0.80667
2023-01-20,0.81826,0.82167,0.80423,0.80654
2023-01-13,0.82734,0.82744,0.81653,0.81741
2023-01-06,0.82661,0.84435,0.82568,0.82674
2022-12-30,0.82916,0.83311,0.82461,0.82669
2022-12-23,0.82282,0.83384,0.81690,0.82980
2022-12-16,0.81525,0.82503,0.80350,0.82373
2022-12-09,0.81417,0.82598,0.81008,0.81524
2022-12-02,0.82855,0.84020,0.81300,0.81349
2022-11-25,0.84051,0.84889,0.82282,0.82723
2022-11-18,0.84635,0.85361,0.83284,0.84123
2022-11-11,0.88406,0.88540,0.84353,0.84469
2022-11-04,0.86226,0.89678,0.86124,0.87900
2022-10-28,0.87735,0.88817,0.85867,0.86093
2022-10-21,0.89147,0.90393,0.87436,0.88480
2022-10-14,0.90164,0.91523,0.87916,0.89443
2022-10-07,0.89416,0.90435,0.87000,0.90107
2022-09-30,0.92383,0.96405,0.89021,0.89557
2022-09-23,0.87552,0.92247,0.87261,0.92110
2022-09-16,0.85932,0.88086,0.85204,0.87544
2022-09-09,0.87027,0.87655,0.85851,0.86304
2022-09-02,0.85238,0.86990,0.85056,0.86844
2022-08-26,0.84583,0.85341,0.84071,0.85243
2022-08-19,0.82401,0.84798,0.82326,0.84578
2022-08-12,0.82876,0.82993,0.81465,0.82381
2022-08-05,0.82106,0.83294,0.81352,0.82846
2022-07-29,0.83304,0.83615,0.81689,0.82095
2022-07-22,0.84249,0.84296,0.82903,0.83346
2022-07-15,0.83091,0.85022,0.83078,0.84273
2022-07-08,0.82636,0.84197,0.82202,0.83085
2022-07-01,0.81467,0.83500,0.81107,0.82624
2022-06-24,0.81819,0.82187,0.81180,0.81501
2022-06-17,0.81218,0.83773,0.80647,0.81764
2022-06-10,0.80051,0.81290,0.79338,0.81242
2022-06-03,0.79137,0.80271,0.78983,0.80045
2022-05-27,0.80075,0.80172,0.78957,0.79171
2022-05-20,0.81604,0.81856,0.79851,0.80028
2022-05-13,0.81038,0.82239,0.80613,0.81550
2022-05-06,0.79489,0.81452,0.79125,0.81041
2022-04-29,0.77896,0.80567,0.77888,0.79553
2022-04-22,0.76569,0.77986,0.76394,0.77914
2022-04-15,0.76729,0.77075,0.76057,0.76583
2022-04-08,0.76288,0.77018,0.75943,0.76697
2022-04-01,0.75849,0.76605,0.75843,0.76234
2022-03-25,0.75907,0.76223,0.75214,0.75819
2022-03-18,0.76703,0.76940,0.75686,0.75901
2022-03-11,0.75549,0.76770,0.75546,0.76714
2022-03-04,0.75075,0.75738,0.74416,0.75528
2022-02-25,0.73550,0.75332,0.73318,0.74563
2022-02-18,0.73793,0.74140,0.73313,0.73569
2022-02-11,0.73876,0.74141,0.73293,0.73719
2022-02-04,0.74637,0.74703,0.73376,0.73912
2022-01-28,0.73772,0.74852,0.73718,0.74605
2022-01-21,0.73104,0.73829,0.73046,0.73783
2022-01-14,0.73596,0.73900,0.72731,0.73104
2022-01-07,0.73962,0.74445,0.73537,0.73552
2021-12-31,0.74609,0.74726,0.73804,0.73883
2021-12-24,0.75507,0.75902,0.74423,0.74630
2021-12-17,0.75443,0.75888,0.74775,0.75542
2021-12-10,0.75627,0.75915,0.75248,0.75365
2021-12-03,0.74961,0.75724,0.74791,0.75544
2021-11-26,0.74349,0.75286,0.74338,0.74979
2021-11-19,0.74520,0.74634,0.73992,0.74376
2021-11-12,0.74153,0.74908,0.73499,0.74554
2021-11-05,0.73074,0.74492,0.72996,0.74063
2021-10-29,0.72685,0.73173,0.72306,0.73057
2021-10-22,0.72698,0.72951,0.72283,0.72678
2021-10-15,0.73399,0.73711,0.72606,0.72722
2021-10-08,0.73841,0.73902,0.73225,0.73425
2021-10-01,0.73153,0.74555,0.72839,0.73787
2021-09-24,0.72817,0.73469,0.72729,0.73096
2021-09-17,0.72256,0.72841,0.71881,0.72794
2021-09-10,0.72145,0.72847,0.72001,0.72268
2021-09-03,0.72705,0.72843,0.71979,0.72131
2021-08-27,0.73432,0.73436,0.72567,0.72678
2021-08-20,0.72109,0.73531,0.72078,0.73437
2021-08-13,0.72050,0.72509,0.71981,0.72077
2021-08-06,0.71961,0.72156,0.71646,0.72082
2021-07-30,0.72671,0.72802,0.71510,0.71909
2021-07-23,0.72637,0.73676,0.72531,0.72706
2021-07-16,0.71983,0.72680,0.71891,0.72623
2021-07-09,0.72288,0.72785,0.71901,0.71933
2021-07-02,0.72017,0.72796,0.71754,0.72324
2021-06-25,0.72459,0.72553,0.71424,0.72070
2021-06-18,0.70871,0.72507,0.70765,0.72417
2021-06-11,0.70603,0.71047,0.70473,0.70839
2021-06-04,0.70452,0.71005,0.70190,0.70619
2021-05-28,0.70666,0.70963,0.70334,0.70475
2021-05-21,0.70926,0.71039,0.70249,0.70657
2021-05-14,0.71417,0.71417,0.70596,0.70912
2021-05-07,0.72377,0.72450,0.71398,0.71482
2021-04-30,0.72051,0.72463,0.71554,0.72356
2021-04-23,0.72284,0.72415,0.71382,0.72047
2021-04-16,0.72962,0.73153,0.72244,0.72244
2021-04-09,0.72361,0.73132,0.71846,0.72963
2021-04-02,0.72511,0.72944,0.72187,0.72310
2021-03-26,0.72264,0.73155,0.72061,0.72509
2021-03-19,0.71831,0.72407,0.71431,0.72098
2021-03-12,0.72261,0.72451,0.71413,0.71831
2021-03-05,0.71699,0.72534,0.71369,0.72309
2021-02-26,0.71398,0.71988,0.70374,0.71823
2021-02-19,0.72164,0.72306,0.71250,0.71380
2021-02-12,0.72893,0.73104,0.72128,0.72182
2021-02-05,0.72962,0.73695,0.72688,0.72798
2021-01-29,0.73081,0.73489,0.72679,0.72988
2021-01-22,0.73509,0.73957,0.72752,0.73076
2021-01-15,0.73737,0.74322,0.72959,0.73602
2021-01-08,0.73214,0.73892,0.72973,0.73812
2021-01-01,0.73854,0.74449,0.73072,0.73181
2020-12-25,0.74602,0.75801,0.73425,0.73836
2020-12-18,0.74848,0.75295,0.73398,0.73956
2020-12-11,0.74562,0.76114,0.74421,0.75619
2020-12-04,0.75011,0.75231,0.73869,0.74433
2020-11-27,0.75262,0.75373,0.74639,0.75112
2020-11-20,0.75857,0.75943,0.75126,0.75255
2020-11-13,0.75955,0.76293,0.75300,0.75742
2020-11-06,0.77323,0.77781,0.75890,0.76041
2020-10-30,0.76601,0.77624,0.76460,0.77213
2020-10-23,0.77494,0.77494,0.75902,0.76698
2020-10-16,0.76734,0.77741,0.76456,0.77468
2020-10-09,0.77366,0.77821,0.76628,0.76628
2020-10-02,0.78363,0.78415,0.77055,0.77293
2020-09-25,0.77319,0.78870,0.77111,0.78466
2020-09-18,0.78133,0.78185,0.76885,0.77382
