DATE,OPEN,HIGH,LOW,CLOSE
2023-07-04,144.26000,144.91300,143.98200,144.51100
2023-06-30,143.60200,145.06700,142.93400,144.26100
2023-06-23,141.76900,143.87100,141.19000,143.65500
2023-06-16,139.39200,141.91100,139.00000,141.82500
2023-06-09,139.95100,140.45300,138.75500,139.35500
2023-06-02,140.63600,140.93200,138.43000,139.94700
2023-05-26,137.99600,140.72400,137.49000,140.59500
2023-05-19,135.70500,138.74600,135.65300,137.87800
2023-05-12,134.82600,135.75300,133.74000,135.74500
2023-05-05,136.17200,137.77400,133.49800,134.81900
2023-04-28,134.00800,136.56100,133.00000,136.24000
2023-04-21,133.81200,135.13800,133.54600,134.09600
2023-04-14,132.12400,134.04700,131.82000,133.74500
2023-04-07,133.25500,133.75500,130.61100,132.13700
2023-03-31,130.56800,133.59400,130.38000,132.79700
2023-03-24,131.82100,133.00200,129.61000,130.70100
2023-03-17,133.89100,135.11300,131.53000,131.80300
2023-03-10,135.97300,137.91000,134.11000,134.96200
2023-03-03,136.41300,137.10000,135.23000,135.83100
2023-02-24,134.21400,136.51900,133.91800,136.40600
2023-02-17,131.28100,135.11600,131.20700,134.11400
2023-02-10,132.46400,132.90200,129.79800,131.34700
2023-02-03,129.70800,131.20200,128.06000,131.15600
2023-01-27,129.45900,131.11600,129.00000,129.80400
2023-01-20,127.80700,131.57700,127.21700,129.46400
2023-01-13,131.94300,132.87200,127.43000,127.85300
2023-01-06,130.92500,134.77300,129.48700,132.03000
2022-12-30,132.75300,134.50000,130.75000,131.07200
2022-12-23,135.97300,137.47300,130.55000,132.87200
2022-12-16,136.47700,138.17500,134.50200,136.67900
2022-12-09,134.51400,137.85600,134.09000,136.57800
2022-12-02,139.22400,139.89400,133.61000,134.27100
2022-11-25,140.23000,142.25200,138.03000,139.11000
2022-11-18,139.16300,140.80000,137.65700,140.34100
2022-11-11,147.20200,147.56800,138.43100,138.76200
2022-11-04,147.75900,148.84900,145.64000,146.65400
2022-10-28,148.08900,149.71000,145.08000,147.42000
2022-10-21,148.42900,151.94400,146.16000,147.63000
2022-10-14,145.33700,148.85900,145.21000,148.72000
2022-10-07,144.65700,145.44400,143.50000,145.33000
2022-09-30,143.46100,144.90400,143.19600,144.72900
2022-09-23,142.89800,145.90100,140.33000,143.32000
2022-09-16,142.37800,144.96400,141.59800,142.90600
2022-09-09,140.15600,144.99200,140.09000,142.56400
2022-09-02,137.60500,140.80100,137.58700,140.15200
2022-08-26,136.82100,137.75500,135.78000,137.75200
2022-08-19,133.43600,137.23100,132.52000,136.93000
2022-08-12,135.05200,135.58300,131.71000,133.48000
2022-08-05,133.21500,135.50600,130.38900,134.97000
2022-07-29,136.11700,137.46300,132.48000,133.19000
2022-07-22,138.50500,138.87900,135.54000,136.05000
2022-07-15,136.11600,139.39100,136.06000,138.45600
2022-07-08,135.22800,136.56600,134.76000,136.08000
2022-07-01,135.16000,137.00300,134.49000,135.17500
2022-06-24,134.99300,136.71300,134.24000,135.17000
2022-06-17,134.40000,135.60000,131.46000,134.96000
2022-06-10,130.85000,134.55700,130.40000,134.42000
2022-06-03,127.12200,130.97900,126.83000,130.86000
2022-05-27,127.84500,128.08700,126.33000,127.08500
2022-05-20,129.35000,129.78000,126.99000,127.85000
2022-05-13,130.57000,131.34700,127.49000,129.18500
2022-05-06,129.86100,130.81000,128.60000,130.56000
2022-04-29,128.49600,131.25100,126.93000,129.83000
2022-04-22,126.41200,129.40500,126.23000,128.42500
2022-04-15,124.20700,126.68100,124.15000,126.43900
2022-04-08,122.54200,124.68000,122.25900,124.32000
2022-04-01,122.04000,125.10300,121.25000,122.49000
2022-03-25,119.13500,122.43400,119.07000,122.06000
2022-03-18,117.33500,119.40000,117.29000,119.17000
2022-03-11,114.92500,117.36000,114.79000,117.26800
2022-03-04,115.22900,115.81000,114.62000,114.76300
2022-02-25,115.01000,115.76100,114.38000,115.54800
2022-02-18,115.32900,115.87400,114.76000,114.99200
2022-02-11,115.21500,116.34000,114.88000,115.38300
2022-02-04,115.27000,115.59300,114.13000,115.25000
2022-01-28,113.66100,115.68500,113.44000,115.17800
2022-01-21,114.11800,115.05800,113.57000,113.67400
2022-01-14,115.59200,115.85100,113.45000,114.18900
2022-01-07,115.10700,116.35200,114.91000,115.53000
2021-12-31,114.34900,115.21600,114.28000,115.06800
2021-12-24,113.61200,114.51300,113.30000,114.35000
2021-12-17,113.26900,114.27500,113.11000,113.61200
2021-12-10,112.83300,113.95600,112.80200,113.37400
2021-12-03,113.69300,113.96000,112.50000,112.76000
2021-11-26,113.94300,115.52300,113.02000,113.34600
2021-11-19,113.89500,114.97000,113.56000,113.98800
2021-11-12,113.36000,114.30100,112.69000,113.84600
2021-11-05,114.10200,114.45000,113.27000,113.40000
2021-10-29,113.50100,114.31200,113.22000,114.00000
2021-10-22,114.28000,114.70000,113.38000,113.46000
2021-10-15,112.23000,114.46500,112.14000,114.20000
2021-10-08,110.89400,112.25500,110.79000,112.21500
2021-10-01,110.66400,112.07800,110.50000,111.00800
2021-09-24,109.92400,110.79400,109.09000,110.68500
2021-09-17,109.82000,110.16300,109.08000,109.89500
2021-09-10,109.75000,110.44700,109.59000,109.91000
2021-09-03,109.84600,110.42000,109.55000,109.69200
2021-08-27,109.73500,110.26800,109.38000,109.81000
2021-08-20,109.61400,110.22800,109.08000,109.74000
2021-08-13,110.21200,110.80100,109.51000,109.57000
2021-08-06,109.62100,110.35700,108.69000,110.23300
2021-07-30,110.49900,110.58400,109.33000,109.61500
2021-07-23,110.01200,110.59300,109.03000,110.51000
2021-07-16,110.11500,110.70000,109.68000,110.06600
2021-07-09,111.00300,111.19000,109.50000,110.02900
2021-07-02,110.76800,111.65800,110.39000,111.04000
2021-06-25,110.21200,111.11600,109.68000,110.76000
2021-06-18,109.61500,110.82400,109.58000,110.15000
2021-06-11,109.47700,109.84300,109.16000,109.63500
2021-06-04,109.83600,110.33000,109.29800,109.47500
2021-05-28,108.91100,110.19900,108.53000,109.80000
2021-05-21,109.27200,109.50200,108.54000,108.94000
2021-05-14,108.61200,109.78600,108.32000,109.34700
2021-05-07,109.28600,109.70000,108.31000,108.58200
2021-04-30,107.90700,109.37300,107.61000,109.31800
2021-04-23,108.74300,108.83500,107.45000,107.85800
2021-04-16,109.67500,109.77100,108.58000,108.75000
2021-04-09,110.64400,110.75000,108.97000,109.65500
2021-04-02,109.71100,110.96700,109.34000,110.67000
2021-03-26,108.59700,109.84800,108.38000,109.66700
2021-03-19,108.98700,109.36500,108.58000,108.90100
2021-03-12,108.33500,109.23300,108.24500,108.97900
2021-03-05,106.53000,108.64400,106.34000,108.27700
2021-02-26,105.38200,106.69300,104.89000,106.50400
